Main_Menu,Sub_Menu,Sub_Item,Sub_Sub_Menu,Sub_Sub_Item,Options,Meats,Sides,Extra_Side,Extra Chili or Salad,Potato Stuffing,Price,Additional Cost,Description
Appetizer,,,,,,,,,,,,,
BBQ and Ribs,,,,,,,,,,,,,
Famous Feasts,,,,,,,,,,,,,
Meats by the Pound,,,,,,,,,,,,,
Salads and Chili,,,,,,,,,,,,,
Burgers,,,,,,,,,,,,,
Sides and Cornbread,,,,,,,,,,,,,
Tacos,,,,,,,,,,,,,
Sandwiches,,,,,,,,,,,,,
Desserts,,,,,,,,,,,,,
Beverages,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Salads and Chili,Side Salad,,,,,,,,,4.95,,Fresh garden side salad.
,Salads and Chili,Bowl of Chili w/ Side Salad,,,,,,,,,9.95,,Dave's Award-Winning Chili Bowl with a fresh garden side salad.
,Salads and Chili,Dave's Award Winning Chili Bowl,,,,,,,,,7.95,,
,Salads and Chili,Stuffed Baked Potatoes,,,Potato_meat,,,,,,,,A large baked potato with your choice of stuffing.
,Burgers,Dave's Favorite Burger,,,,,,,,,16.95,,Slathered with Rich & Sassy® BBQ Sauce and topped with melted Monterey Jack Cheese and bacon.
,Burgers,Devil's Spit Burger,,,,,,,,,16.95,,"Slathered with Devil’s Spit® BBQ Sauce and topped with melted Pepper-Jack Cheese, bacon and spicy Hell-Fire® Pickles."
,Burgers,Ultimate Burger,,,,,,,,,18.95,,"Piled high with Georgia Chopped Pork, bacon, Cheddar Cheese and Sweet & Zesty® BBQ Sauce."
,Burgers,Jack-N-Stacked Burger,,,,,,,,,16.95,,Topped with Monterey Jack Cheese and stacked with crispy Onion Strings.
,Burgers,Double Bacon Cheddar Burger,,,,,,,,,18.95,,"Topped with DOUBLE Cheddar Cheese, Rich & Sassy® BBQ Sauce, grilled onions, and DOUBLE bacon."
,Burgers,Veggie Burger,,,,,,,,,13.95,,"A classic burger served with a black bean patty, lettuce, tomato, pickles, and Cheddar Cheese. Try it lettuce wrapped!"
,Sides and Cornbread,Individual Sides,,,Add_Side,,,,,,,,Single Serving
,Sides and Cornbread,Dozen Corn Bread Muffins,,,,,,,,,18.00,,One dozen cornbread muffins.
,Sides and Cornbread,Sides to Share,,,Share_Sides,,,,,,,,Quart sides serve 6-8.
,Tacos,"BBQ Pulled Chicken, lettuce, tomatoes, and pico de gallo.",,,,,,,,,15.75,,Three of your favorite tacos. Feel free to mix and match your favorites:
,Tacos,"Catfish, lettuce, tomatoes, and pico de gallo.",,,,,,,,,15.75,,
,Tacos,"Baja Shrimp, creamy coleslaw, cilantro, and lime.",,,,,,,,,15.75,,
,Tacos,"Buffalo Chicken, lettuce, tomatoes, and pico de gallo.",,,,,,,,,15.75,,
,Tacos,"Chopped Pork, lettuce, tomatoes, and pico de gallo.",,,,,,,,,15.75,,
,Sandwiches,Tri Tip Sandwich,,,,,,,,,18.95,,Our Famous Tri Tip Steak served on a garlic buttered French Roll with melted Provolone Cheese and onions.
,Sandwiches,BBQ Pulled Chicken Sandwich,,,,,,,,,14.95,,"Roasted, pulled chicken tossed in Rich & Sassy® BBQ Sauce and topped with melted Monterey Jack Cheese."
,Sandwiches,Cajun Chicken Sandwich,,,,,,,,,16.95,,"Grilled, Cajun-seasoned chicken breast topped with Pepper-Jack Cheese, fried Onion Strings and Remoulade sauce."
,Sandwiches,Texas Beef Brisket Sandwich,,,,,,,,,18.95,,"Piled high with hand-seasoned, hickory-smoked Texas Beef Brisket."
,Sandwiches,Nashville Hot Chicken Sandwich,,,,,,,,,16.95,,"A hand-breaded chicken breast topped with Nashville Sauce, Creamy Coleslaw, and pickles."
,Sandwiches,Georgia Chopped Pork Sandwich,,,,,,,,,14.95,,Slow-smoked chopped pork topped with Rich & Sassy® BBQ Sauce.
,Sandwiches,Hickory Chicken Sandwich,,,,,,,,,16.95,,"Marinated, grilled chicken breast topped with Monterey Jack Cheese and bacon."
,Sandwiches,The Manhandler,,,,,,,,,18.95,,"Choice of Texas Beef Brisket or Georgia Chopped Pork, topped with Hot Link Sausage & spicy Hell-Fire® Pickles"
,Desserts,Down Home Banana Pudding,,,,,,,,,7.95,,
,Desserts,Dave's Award Winning Bread Pudding,,,,,,,,,7.95,,
,Desserts,Fresh Baked Chocolate Chip Cookies (1/2 dozen),,,,,,,,,9.95,,
,Beverages,Iced Tea,,,,,,,,,15.00,,one gallon
,Beverages,Lemonade,,,,,,,,,15.00,,one gallon
,Beverages,Sweat Tea,,,,,,,,,15.00,,one gallon
,Beverages,Bottled Water,,,,,,,,,2.00,,Bottle of Water
,Beverages,Pepsi,,,,,,,,,2.00,,Canned Soda
,Beverages,Diet Pepsi,,,,,,,,,2.00,,Canned Soda
,Beverages,Sierra Mist,,,,,,,,,2.00,,Canned Soda
,,,,,,,,,,,,,
,,,Bones,4 bones,,,,,,,22.95,,
,,,Bones,6 bones,,,,,,,29.95,,
,,,Bones,8 bones,,,,,,,33.95,,
,,,Bones,12 bones,,,,,,,37.95,,
,,,,,,,,,,,,,Our award-winning pork is smoked for up to 12 hours and chopped to order
,,,,,,,,,,,,,"Our classic Texas Beef Brisket is rubbed with Dave’s secret blend of spices, pit-smoked for up to 12 hours, then sliced to order."
,,,,,,,,,,,,,"A pound of Memphis-Style, dry-rubbed tips. Served with a side of jalapeño pickled red onions, spicy Hell-Fire ® Pickles & our Southside sauce."
,,,,,,,,,,,,,"Specially seasoned 1/2 chicken, roasted and char-grilled to perfection."
,,,,,,,,,,,,,Country-Roasted Chicken flame-kissed and slathered with Rich & Sassy® BBQ Sauce.
,,,,,,,,,,,,,Our Famous Tri Tip Steak seasoned with Dave’s secret blend of spices & finished with Rich & Sassy® BBQ Sauce.
,,,,,,,,,,,,,"Lightly breaded with Cajun-seasoned cornmeal and flash-fried, served with rémoulade sauce."
,,,Meat,Georgia Chopped Pork,,,,,,,,,Product | Famous Dave's BBQ Restaurant
,,,Meat,Texas Beef Brisket,,,,,,,,,
,,,Meat,Southside Rib Tips,,,,,,,,,
,,,Meat,BBQ Chicken,,,,,,,,,
,,,Meat,Country Roasted Chicken,,,,,,,,,
,,,Meat,Hand Breaded Chicken Tenders,,,,,,,,,
,,,Meat,Hot Link Sausages,,,,,,,,,
,,,Meat,Boneless Wings,,,,,,,,,
,,,Meat,Traditional Wings,,,,,,,,,
,,,Meat,Tri Tip,,,,,,,,,
,,,,,,,,,,,,,
,,,Add_Side,Wilbur Beans,,,,,,,,4.95,
,,,Add_Side,Creamy Coleslaw,,,,,,,,4.95,
,,,Add_Side,Sweet Corn,,,,,,,,4.95,
,,,Add_Side,Famous Fries,,,,,,,,4.95,
,,,Add_Side,Garlic Red-Skinned Mashed Potatoes,,,,,,,,4.95,
,,,Add_Side,Dave's Cheesy Mac & Cheese,,,,,,,,4.95,
,,,Add_Side,Potato Salad,,,,,,,,4.95,
,,,Add_Side,Corn Bread Muffin,,,,,,,,1.49,
,,,Chili_Salad,Side Chili,,,,,,,,4.95,
,,,Chili_Salad,Side Salad,,,,,,,,4.95,
,,,Side,Garlic Red-Skinned Mashed Potatoes,,,,,,,,,
,,,Side,Dave's Cheesy Mac & Cheese,,,,,,,,,
,,,Side,Creamy Coleslaw,,,,,,,,,
,,,Side,Potato Salad,,,,,,,,,
,,,Side,Famous Fries,,,,,,,,,
,,,Side,Tater Tots,,,,,,,,,
,,,Side,Sweet Corn,,,,,,,,,
,,,Side,Wilbur Beans,,,,,,,,,
,,,Side,Corn Bread,,,,,,,,,
,,,Side,BBQ Chips,,,,,,,,,
,,,Side,Garden Salad,,,,,,,,3.95,
,,,Side,Caesar Salad,,,,,,,,3.95,
,,,Side,Cup of Chili,,,,,,,,3.95,
,,,Side,Baked Potato,,,,,,,,3.95,
,,,Share_Sides,Wilbur Beans,,,,,,,,18.00,
,,,Share_Sides,Creamy Coleslaw,,,,,,,,18.00,
,,,Share_Sides,Sweet Corn,,,,,,,,18.00,
,,,Share_Sides,Famous Fries,,,,,,,,18.00,
,,,Share_Sides,Garlic Red-Skinned Mashed Potatoes,,,,,,,,18.00,
,,,Share_Sides,Dave's Cheesy Mac & Cheese,,,,,,,,18.00,
,,,Share_Sides,Potato Salad,,,,,,,,18.00,
,,,Share_Sides,Corn Bread Muffin,,,,,,,,18.00,
,,,Potato_meat,Brisket,,,,,,,19.95,,
,,,Potato_meat,Chicken,,,,,,,15.95,,
,,,Potato_meat,Pork,,,,,,,14.95,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
